id,descricao,unidade,quantidade,unitario,total
3889,"ETIQUETA 250BJ, SAIDA EMERGENCIA",PC,0,7.55,0.00
3890,"ETIQUETA 250BK, SAIDA EMERGENCIA  ",PC,0,6.38,0.00
3891,"ETIQUETA 250BL, SAIDA EMERGENCIA",PC,0,6.28,0.00
3892,"ETIQUETA 250BM, SAIDA 30X20CM",PC,0,8.26,0.00
3893,"ETIQUETA 250BN, M. POR CAMERA",PC,0,4.15,0.00
3894,"ETIQUETA 250BO, SAIDA DE EMERGENCIA",PC,0,6.28,0.00
3895,"ETIQUETA 250BP, HIDRANTE MANGUEIRA",PC,0,6.28,0.00
3896,"ETIQUETA 250BQ, EXTINTOR AGUA",PC,0,6.88,0.00
3897,"ETIQUETA 250BR, EXTINTOR PO QUIMICO",PC,0,6.28,0.00
3898,"ETIQUETA 250BS, EXTINTOR CO2  FOTO",PC,0,8.26,0.00
3899,"ETIQUETA 250BT, OBRIGATÓRIO USO EPI'S",PC,0,4.55,0.00
3900,"ETIQUETA 250BU, PROIBIDO ENTRADA C USO",PC,0,4.16,0.00
3901,"ETIQUETA 250BV, ATENCAO P. AUTOMATICO",PC,0,4.16,0.00
3902,ETIQUETA 250BX N ENTRE PERIGO DE MORTE,PC,0,4.55,0.00
3903,"ETIQUETA 250BY, ATENCAO PROIBIDO ESTACI",PC,0,4.55,0.00
3904,"ETIQUETA 300AD, PROIBIDO ESTACIONAR",PC,0,25.06,0.00
3905,"ETIQUETA 300AI, PERIGO ALTA VOLTAGEM",PC,0,19.05,0.00
3906,"ETIQUETA 315AM, SAIDA DE EMERGENCIA",PC,0,6.28,0.00
3907,ETIQUETA 350AB 15X15CM LETRA H HIDRANTE,PC,0,6.07,0.00
3908,ETIQUETA 350AC ALARME SONORO,PC,0,4.24,0.00
3909,ETIQUETA 360AD SAIDA EMERG SETA P/DIR,PC,0,10.46,0.00
3910,ETIQUETA 360AE,PC,0,10.46,0.00
3911,ETIQUETA 360AF,PC,0,10.46,0.00
3912,ETIQUETA 360AG,PC,0,10.46,0.00
3913,ETIQUETA 360AJ,PC,0,10.46,0.00
3914,ETIQUETA 360AM  SAIDA DE EMERGENCIA,PC,0,15.10,0.00
3915,"ETIQUETA 700AE, ATENCAO ATENCAO PISO",PC,0,23.80,0.00
3916,"ETIQUETA 700AF, ATENCAO PISO MOLHADO",PC,0,23.80,0.00
3917,"ETIQUETA 700AG, ATENCAO EM MANUTENCAO",PC,0,23.80,0.00
3918,ETIQUETA 900AM ALUMINIO 12X12 MANTENHA,PC,0,4.46,0.00
3919,ETIQUETA 900AO ALUMINIO 12X12 COPA,PC,0,4.88,0.00
3920,ETIQUETA BOMBA LIGADO,PC,0,1.14,0.00
3921,ETIQUETA COMPRESSOR LIGADO,PC,0,1.14,0.00
3922,ETIQUETA CUIDADO EXPRESSAMENTE,PC,0,11.82,0.00
3923,ETIQUETA CUIDADO EXPRESSAMENTE,PC,0,10.18,0.00
3924,ETIQUETA DESLIGA,PC,4,1.14,4.56
3925,ETIQUETA DESLIGA LIGA,PC,0,1.14,0.00
3926,ETIQUETA EMERGENCIA,PC,0,1.14,0.00
3927,ETIQUETA EMERGENCIA 22MM,PC,40,5.86,234.40
3928,ETIQUETA EMERGENCIA 22MM DIAM 80MM,PC,0,9.53,0.00
3929,ETIQUETA LIGA,PC,4,1.14,4.56
3930,ETIQUETA MANUAL DESLIGADO AUTOMATICO,PC,0,1.14,0.00
3931,ETIQUETA MOTOR LIGADO,PC,0,1.14,0.00
3932,ETIQUETA P/ BORNE SAK MBL-31-40,PC,5,6.32,31.60
3933,ETIQUETA P/ BORNE SAK MBL-41-50,PC,5,3.79,18.95
3934,ETIQUETA P/ BORNE SAK MBL-51-60,PC,5,3.79,18.95
3935,ETIQUETA P/ BORNE SAK MLB-1-10,PC,4,6.32,25.28
3936,ETIQUETA P/ BORNE SAK MLB-11-20,PC,5,6.32,31.60
3937,ETIQUETA P/ BORNE SAK MLB-21-30,PC,5,4.04,20.20
3938,ETIQUETA PS20X30CM PERIGO SUBESTAÇÃO,PC,0,13.38,0.00
3939,"EXAUSTOR CENTRIF,EC1TAR,110/220V",PC,1,1628.06,1628.06
3940,"EXAUSTOR CENTRIF,EC2TAR,110/220V, 2HP",PC,1,1920.00,1920.00
3941,"EXAUSTOR E20M4,DIÃM 200MM,110/220V,",PC,2,226.01,452.02
3942,"EXAUSTOR E30M4,DIÃM 300MM,110/220V,",PC,4,345.66,1382.64
3943,"EXAUSTOR E30M8,DIÃM 300MM,110/220V,",PC,0,272.84,0.00
3944,"EXAUSTOR E30T4,DIÂM 300MM 220V",PC,0,433.37,0.00
3945,"EXAUSTOR E30TTR4,DIÃM 30MM,110/220V,C/",PC,0,1504.57,0.00
3946,"EXAUSTOR E40M4,DIÃM 400MM,110/220V,",PC,6,541.28,3247.68
3947,"EXAUSTOR E40M6,DIÃM 400MM,110/220V,",PC,0,401.94,0.00
3948,"EXAUSTOR E40T4,DIÃM 400MM,110/380V,",PC,1,430.88,430.88
3949,"EXAUSTOR E40TTR4, TRIF,4P, 220/380/440V, C/",PC,1,1363.44,1363.44
3950,"EXAUSTOR E50M4,127/220V,1650RPM,75M3",PC,0,635.64,0.00
3951,"EXAUSTOR E50T4,DIÃM 500MM,220/380V,",PC,2,719.03,1438.06
3952,"EXAUSTOR E50T6,DIÃM 500MM,220/380V,",PC,2,411.71,823.42
3953,"EXAUSTOR E50TTR4, TRIF,4P,220/380/440V, C/",PC,0,2320.56,0.00
3954,"EXAUSTOR E60T4,DIÃM 600MM,220/380V,",PC,0,1593.43,0.00
3955,"EXAUSTOR ED25, DIÂM",PC,0,227.58,0.00
3956,"EXAUSTOR EQB120A3, 110/220,120X120,QUAL",PC,0,78.00,0.00
3957,"EXAUSTOR EQB120A3, 120, BR, 6M2",PC,0,78.00,0.00
3958,"EXAUSTOR EQB160A3, 110/220,120X120,QUAL",PC,0,156.00,0.00
3959,EXAUSTOR MCQ 163M4,PC,0,268.80,0.00
3960,EXAUSTOR P/ CHURASQUEIRA 220VCA,PC,0,113.08,0.00
3961,"EXAUSTOR VE-300M4,DIÃM 300MM,110/220",PC,0,111.60,0.00
3962,EXP NEXO NEX16-DR-EXPAN 8ENT(4ED/EA,PC,0,599.98,0.00
3963,EXTENSÃO 5 TOM TMU5-310 P. NOVO,PC,0,14.31,0.00
3964,EXTENSÃO 5 TOM TMU5-310 P. NOVO,PC,0,18.86,0.00
3965,"Extensão Telefone, Telebras+Telebras/RJ11",PC,0,4.55,0.00
3966,"F+ Ballon Chaveado 1,5M  Imp.",PC,0,0.00,0.00
3967,FASIMETRO F-S30,PC,0,88.00,0.00
3968,FASÍMETRO MFA-850 MINIPA,PC,1,297.70,297.70
3969,FECHADURA ELÉTRICA C/ TEMP. SP-LOCK,PC,3,93.36,280.08
3970,FECHADURA ELÉTRICA C/ TEMP. SP-LOCK,PC,2,105.15,210.30
3971,FECHADURA ELÉTRICA SP-LOCK 12VDC,PC,2,146.92,293.84
3972,FECHADURA ELÉTRICA SP-LOCK 12VDC,PC,3,122.45,367.35
3973,Fechadura FN90 Reforçada,PC,0,67.80,0.00
3974,FECHO  CREMONA C/ LING MARÇ S/ CHAVE,PC,5,59.75,298.75
3975,"FECHO LING REG,FL19.6FR,RD,ZCH , H-20MM",PC,0,9.37,0.00
3976,"FECHO LINGUETA MINI RED FENDA A=33,5",PC,0,14.22,0.00
3977,FER.,PC,0,0.00,0.00
3978,FER. ALICATE DE BICO M CANA,PC,0,38.40,0.00
3979,FER. ALICATE DE CORTE DIAGONAL 4,PC,0,42.00,0.00
3980,FER. ALICATE DE CORTE UNIVERSAL 6,PC,0,27.60,0.00
3981,FER. CANIVETE TRAMONTINA,PC,0,13.20,0.00
3982,FER. CHAVE AJUSTE TRIMER1,PC,0,6.00,0.00
3983,FER. CHAVE AJUSTE TRIMPOT2,PC,0,6.00,0.00
3984,"FER. CHAVE ALLEN 0,28 /0,35/0,50",PC,0,4.76,0.00
3985,"FER. CHAVE FENDA,3/16X4",PC,0,3.48,0.00
3986,"FER. CHAVE FENDA,F1/8X'10",PC,0,7.80,0.00
3987,"FER. CHAVE FENDA,F1/8X3.1/8",PC,0,2.76,0.00
3988,"FER. CHAVE PHILIPS,1/8X2.3/8",PC,0,3.00,0.00
3989,FER. CHAVE TIPO Z 0X1,PC,0,10.20,0.00
3990,"FER. JOGO DE CHAVE ALLEN 1,5-6",PC,0,7.20,0.00
3991,FER. LIMA CHATA MURCA P4 +CABO,PC,0,10.20,0.00
3992,Ferramenta de inseção Punch Down  CUTTER,PC,0,250.00,0.00
3993,FERRO À GAS GRANDE,PC,0,108.63,0.00
3994,FERRO À GAS PQ,PC,0,54.19,0.00
3995,Ferro de solda  HIKARI 110V 40W.,PC,14,21.45,300.30
3996,FERRO DE SOLDA  HIKARI 110V 42W,PC,0,29.90,0.00
3997,Ferro de solda  HIKARI 220V 40W,PC,5,23.86,119.30
3998,FERRO DE SOLDA 200W/121VCA,PC,0,101.40,0.00
3999,FERRO DE SOLDA 200W/220VCA,PC,0,109.85,0.00
4000,FERRO DE SOLDA 65W/220VCA,PC,0,34.45,0.00
4001,Ferro de Solda 75W/127V,PC,0,31.80,0.00
4002,Ferro de Solda Fame 70W/110V,PC,0,27.63,0.00
4003,Ferro de solda HIKARI 60W/110V,PC,9,33.72,303.48
4004,Ferro de Solda HIKARI plus 60w/220V,PC,6,27.48,164.88
4005,FERRO DE SOLDA PISTOLA  65W 120V HIKARI,PC,0,46.32,0.00
4006,Ferro de Solda Toyo 40W 127V,PC,0,13.08,0.00
4007,Ferro de Solda Toyo 60W/110V,PC,0,12.11,0.00
4008,FILTRO 190X190,PC,0,18.60,0.00
4009,FILTRO 237X237,PC,0,27.79,0.00
4010,FILTRO ADSL 1 SAIDA,PC,0,5.85,0.00
4011,FILTRO ADSL 2SAIDA,PC,0,10.68,0.00
4012,Filtro de  linha 2 tomada,PC,0,9.46,0.00
4013,Filtro de  Linha 4 Tomada,PC,0,18.70,0.00
4014,Filtro de  Linha 6 Tomada 110V,PC,0,31.05,0.00
4015,Filtro de linha  3 tomadas,PC,0,9.89,0.00
4016,FILTRO DE LINHA  5 TOMADAS MG-3001,PC,0,15.75,0.00
4017,Filtro de linha 5 tomadas,PC,0,20.30,0.00
4018,Filtro de linha Enermax 5 tomadas,PC,0,10.57,0.00
4019,FILTRO DE LINHA TRI AKT-2310 - 1500W - 2P+T,PC,0,10.96,0.00
4020,FILTRO REGULADOR MS6-LFR-1/2-D7-ERM-AS,PC,0,498.77,0.00
4021,"Fio Cabinho, 0,20mm2 Cinza",PC,0,0.06,0.00
4022,"Fio Cabinho, 0,20mm2 Vermelho",PC,0,0.06,0.00
4023,"FIO DE ACO INOX P/CERCA , 0,6MMM/400M",PC,0,74.38,0.00
4024,Fio de telefone Externo,PC,0,0.15,0.00
4025,FIO ESMALTADO 22AWG,KL,0,35.66,0.00
4026,"Fio kantal NICR 80x20 diam 1,45mm",M,0,2.04,0.00
4027,"FIO KANTAL, 0,5MM, 3,4 OHM/ 1M",M,0,0.55,0.00
4028,"Fio Rígido 750V 1,5mm2 AZ",M,0,17.64,0.00
4029,"Fio Rígido 750V 1,5mm2 VD",M,0,17.64,0.00
4030,"Fio Rígido 750V 1,5mm2 VM",M,0,17.64,0.00
4031,"Fio Rígido 750V 1,5mm2,Preto",M,0,17.64,0.00
4032,"Fio Rígido 750V 2,5mm2 AZ",M,0,27.30,0.00
4033,"Fio Rígido 750V 2,5mm2 BR",M,0,27.30,0.00
4034,"Fio Rígido 750V 2,5mm2 VD",M,0,27.30,0.00
4035,"Fio Rígido 750V 2,5mm2 VM",M,0,27.30,0.00
4036,Fio Rígido 750V 4mm2 AZ,M,0,40.95,0.00
4037,Fio Rígido 750V 4mm2 BR,M,0,40.95,0.00
4038,Fio Rígido 750V 4mm2 VD,M,0,40.95,0.00
4039,Fio Rígido 750V 4mm2 VM,M,0,40.95,0.00
4040,Fio Rígido 750V 6mm2 BR,M,0,59.85,0.00
4041,Fio Rígido 750V 6mm2 VM,M,0,59.85,0.00
4042,"Fio Rígido 750V, 2,5mm2, Preto",M,0,27.30,0.00
4043,"Fio Rígido 750V,1,5mm,Branco",M,0,17.64,0.00
4044,"FIO RK DS KANTAL  3,0x0,15mm, 3,2OHMS/M",M,0,7.55,0.00
4045,Fio Telefone cinza FI FI 2x22,M,0,0.08,0.00
4046,Fio Telefone cinza FI FI 3x22,M,0,0.11,0.00
4047,"Fita  Dessoldadora 1,5M x 2MM",PC,0,5.14,0.00
4048,"FITA AUTO FUSAO 23BR,19MMX5M,",PC,0,9.48,0.00
4049,FITA COLORIDA H0002234153  AM 18MMX10M,PC,0,2.02,0.00
4050,FITA COLORIDA H0002234187  VD 18MMX10M,PC,0,2.02,0.00
4051,FITA COLORIDA H0002234211  AZ 18MMX10M,PC,0,2.33,0.00
4052,FITA COLORIDA HB004160030  MR 18MMX10M,PC,0,2.02,0.00
4053,FITA COLORIDA HB004160063  CZ 18MMX10M,PC,0,2.02,0.00
4054,FITA COLORIDA HB004410468 BR 18MMX10M,PC,0,2.33,0.00
4055,FITA COLORIDA HB004410484  VM 18MMX10M,PC,0,2.33,0.00
4056,FITA DUPLA FACE 12X3MTS H0002223891,PC,0,6.70,0.00
4057,FITA DUPLA FACE 19X2MM H0002290890,PC,0,8.04,0.00
4058,FITA DUPLA FACE 25X2MM HB004018808,PC,0,8.03,0.00
4059,FITA DUPLA FACE P/ AUTO 12MMX3M,PC,0,5.46,0.00
4060,FITA IDENT. SDR 01 3M,PC,0,7.50,0.00
4061,FITA IDENT. SDR 03 3M,PC,0,7.50,0.00
4062,"FITA ISOL 23BR, 19MMX10MTS, 3M",PC,0,19.20,0.00
4063,FITA ISOL 33+ 19MMX20M  H0002243782,PC,0,10.80,0.00
4064,Fita isolante 19mm 20M AM,PC,0,3.56,0.00
4065,Fita isolante 19mm 20M AZ,PC,0,3.56,0.00
4066,Fita isolante 19mm 20M VM,PC,0,3.56,0.00
4067,FITA ISOLANTE 33+19MMX5M 3M HB004162127,PC,0,3.42,0.00
4068,Fita Isolante AT-CH 19x 10MT Tigre,PC,0,2.02,0.00
4069,"Fita isolante Fita 19mmX2M,alta fusao",PC,0,1.61,0.00
4070,"Fita isolante Fita 19mmX5M,Baixa fusao",PC,0,1.39,0.00
4071,"Fita isolante Fita 23, 19mmX10M,alta fusao",PC,0,9.98,0.00
4072,"Fita isolante Fita 23, 19mmX20M,",PC,0,6.71,0.00
4073,"Fita isolante Fita 33,19mmX10M,Baixa fusao",PC,0,2.24,0.00
4074,"FITA LED AMARELO, USO EXTERNO metro",M,0,23.76,0.00
4075,"FITA LED BRANCO, CANCELADO",M,0,0.00,0.00
4076,"FITA LED BRANCO, USO EXTERNO metro",M,0,23.76,0.00
4077,"FITA LED BRANCO, USO INTERNO metro",M,0,18.48,0.00
4078,FITA LED USO INTERNO AMBAR,PC,0,90.00,0.00
4079,FITA LED USO INTERNO AZUL,PC,0,90.00,0.00
4080,FITA LED USO INTERNO VERDE,PC,0,90.00,0.00
4081,FITA LED USO INTERNO VERMELHO,PC,0,90.00,0.00
4082,FITA SELADORA ARMALON ADESIVO,PC,0,120.90,0.00
4083,Fixa Fio RG  59 Preto,PC,0,0.01,0.00
4084,FIXAÇÃO MS6-MV FESTO,PC,0,42.43,0.00
4085,FIXAÇAO PAREDE MS6-AGE FESTO,PC,0,223.11,0.00
4086,FIXAÇAO PAREDE MS6-WP FESTO,PC,0,90.65,0.00
4087,FIXADOR ADESIVO 40X40 LKCSA NAT,PC,20,0.67,13.40
4088,FLANGE COMANDO E SINAL AF3 LINHA CSWF,PC,0,3.59,0.00
4089,FLANGE COMANDO E SINAL AF5,PC,0,6.61,0.00
4090,FONTE,PC,0,0.00,0.00
4091,Fonte,PC,0,0.00,0.00
4092,FONTE  24V 10A PS100 PHOENIX,PC,0,946.80,0.00
4093,FONTE  DRT-240-24V/10A TRIFASICA ENT,PC,2,1009.38,2018.76
4094,"Fonte  Est. FTM 1202 ,12V/ 2A TOCA- FITAS",PC,0,31.17,0.00
4095,"Fonte  Est. FTY 2012 ,12V/2A P/ TECLADOS",PC,0,43.75,0.00
4096,FONTE  FCTP 1201 110-222/12VDC 1A,PC,0,27.60,0.00
4097,FONTE  FCTP 2401 110-222/24VDC 1A,PC,0,34.34,0.00
4098,FONTE 110-220/12CDC 3A,PC,9,22.44,201.96
4099,FONTE 110-220/12VDC 5A,PC,0,19.50,0.00
4100,FONTE 110-220/24VDC 2A,PC,0,21.00,0.00
4101,Fonte 12VDC 2000MA IMP,PC,0,16.60,0.00
4102,FONTE 12VDC/1A IMP,PC,6,9.66,57.96
4103,Fonte 15VDC 500MA FTP,PC,0,19.24,0.00
4104,"Fonte 16VDC 1,3A FTM",PC,0,31.95,0.00
4105,"Fonte 16VDC 2,4A FCHY",PC,0,52.76,0.00
4106,"Fonte 18VDC 1,1A FHP",PC,0,39.71,0.00
4107,Fonte 18VDC 500MA FTP,PC,0,20.14,0.00
4108,"FONTE 2A 24VDC, FCTM2402I",PC,0,71.88,0.00
4109,"Fonte 4,5VDC 500MA FTP",PC,0,20.58,0.00
4110,"Fonte 7,5VDC 1A FTP 710E",PC,0,27.95,0.00
4111,FONTE AMPLIFICADOR DE SINAL,PC,0,72.40,0.00
4112,FONTE CAPACITIVA EFCC90-240VCA,PC,0,184.50,0.00
4113,FONTE CHAV.NES-100-12VDC-8A 110-240VCA,PC,0,162.42,0.00
4114,"FONTE CHAV.S-400-24VDC-16,6A 110-240VCA",PC,1,234.00,234.00
4115,"FONTE CHAVEADA  SKS-A25-24, 1A/50W",PC,0,117.25,0.00
4116,"FONTE CHAVEADA  SKS-A50-24, 2A/50W",PC,0,141.76,0.00
4117,"Fonte Chaveada 100-240 12Vcc 4,2A 50W",PC,0,62.04,0.00
4118,"FONTE CHAVEADA 12VDC/2,5A",PC,0,35.49,0.00
4119,FONTE CHAVEADA AUT MDR-40-24,PC,0,195.71,0.00
4120,FONTE CHAVEADA CHM 24/5A E 110/220-S,PC,0,303.75,0.00
4121,"FONTE CHAVEADA COLMEIA S-075W-12/6,2A",PC,0,53.51,0.00
4122,"FONTE CHAVEADA COLMEIA S-100W-24/4,5A",PC,0,63.30,0.00
4123,FONTE CHAVEADA COLMEIA S-120W-24/QA,PC,4,61.60,246.40
4124,FONTE CHAVEADA COLMEIA S-145W-12/10A,PC,0,79.61,0.00
4125,"FONTE CHAVEADA COLMEIA S-150W-24/6,2A",PC,1,82.22,82.22
4126,FONTE CHAVEADA COLMEIA S-250W-10A,PC,0,69.00,0.00
4127,FONTE CHAVEADA DPR-240-24,PC,0,825.70,0.00
4128,FONTE CHAVEADA DR-45-24VDC,PC,0,141.82,0.00
4129,FONTE CHAVEADA FC1E-12V-1A12W PLASTICA,PC,0,249.60,0.00
4130,FONTE CHAVEADA ME85302 ENT 110-220V,PC,0,173.99,0.00
4131,FONTE CHAVEADA ME85303 ENT 110-220V,PC,1,200.62,200.62
4132,FONTE CHAVEADA ME85305 ENT 110-220V,PC,2,252.06,504.12
4133,FONTE CHAVEADA PA-12,PC,0,114.68,0.00
4134,"FONTE CHAVEADA S-200W-24VDC, 8,3A",PC,0,90.05,0.00
4135,"FONTE CHAVEADA S-240W-24VDC, 10A",PC,0,152.10,0.00
4136,"FONTE CHAVEADA S-500W-24VDC, 21A",PC,0,365.30,0.00
4137,"FONTE CHAVEADA S-75W-24VDC, 3A",PC,0,57.96,0.00
4138,FONTE CHAVEADA SPB-120-24VDC,PC,0,476.40,0.00
4139,FONTE CHAVEADA SPB-240-24VDC,PC,0,805.37,0.00
4140,FONTE CHAVEADA TRILHO DIN NA-120W-24/5A,PC,2,358.29,716.58
4141,"FONTE CHEVEADA COMEIA MS-120-12VDC,",PC,3,61.60,184.80
4142,"FONTE CHEVEADA COMEIA MS-240-24VDC,",PC,4,101.50,406.00
4143,FONTE CHM 12/20 110/220V S:12VCC/20A,PC,0,444.00,0.00
4144,FONTE CHM 24/20 110/220V S:24VCC/20A,PC,0,470.00,0.00
4145,"FONTE COMEIA 110 220V 12V 20,83A",PC,0,69.00,0.00
4146,Fonte Corrente Heliarc 255/tocha/pedal fab Esab,PC,0,8226.24,0.00
4147,FONTE DR-120-24/ 24VDC-5A,PC,0,352.17,0.00
4148,FONTE DRP-240 - 24CDC 110/220VCA,PC,1,552.48,552.48
4149,FONTE E90-265/S24VDC TOPLINE IS-70-24,PC,2,179.82,359.64
4150,"FONTE EDR-75-24Vcc 3,2A  75W",PC,0,202.50,0.00
4151,"Fonte Est. FTP 955 EC ,9VDC/500MA",PC,0,20.58,0.00
4152,"Fonte estab. FfLM 360, 30V, 600MA Imp.",PC,0,23.69,0.00
4153,"Fonte estab. FIC 135, 13,5V, 1A Imp. Canon",PC,0,33.52,0.00
4154,"Fonte estab. FTP 125EC, 12V, 500MA",PC,0,23.75,0.00
4155,"Fonte estab. FTP 903EC  9V, 300MA",PC,0,15.19,0.00
4156,"Fonte estab. FTV ,TV COLOR, 13,5v, 1,8A",PC,0,25.76,0.00
4157,"Fonte estab. FTY 1712,p/ orgão Yamaha 12v, 1,7A",PC,0,36.29,0.00
4158,FONTE FINDER 78.60.1.230.2403,PC,-1,191.39,-191.39
4159,FONTE FITA LED 100-240V - 12VDC 3A,PC,0,52.20,0.00
4160,Fonte FTE 4N 4A 5VDC P/ UHB,PC,0,53.55,0.00
4161,Fonte FTM 500mA 24VDC,PC,0,32.00,0.00
4162,Fonte FTM-1201P Mesa 12VDC 1A,PC,0,32.50,0.00
4163,Fonte FTM-2401E Mesa 24VDC 1A Estab,PC,0,33.71,0.00
4164,Fonte FTP 500mA 3VDC,PC,0,20.58,0.00
4165,Fonte FTP 510E 1A 5VDC,PC,0,27.96,0.00
4166,Fonte FTP 610E 1A 6VDC,PC,0,27.95,0.00
4167,Fonte FTP 655E 500 MA 6VDC,PC,0,20.58,0.00
4168,"Fonte FTP 755E 500mA 7,5V",PC,0,20.58,0.00
4169,Fonte FTP 910E 1A 9VDC,PC,0,27.96,0.00
4170,FONTE RETIF. FTI 152 12V 127/220V,PC,0,177.75,0.00
4171,FONTE S-350W-12VDC - 29A,PC,0,108.00,0.00
4172,"FONTE S-60W-24VDC - 2,5A",PC,0,57.60,0.00
4173,FONTE UNIVERSAL 18W 1000MA,PC,0,9.48,0.00
4174,"FOTOSOQUETE, FTS0MP C/ TIMER ,127-220V",PC,0,18.77,0.00
4175,"FOTOSOQUETE, SPTOE27,127-220V, C/",PC,0,30.54,0.00
4176,FREQUÊCIMETRO HZ72 45-65HZ 460V,PC,0,326.25,0.00
4177,FREQUÊCIMETRO HZ72 PC 60HZ 110/220V,PC,2,211.96,423.92
4178,FREQUÊCIMETRO HZ72 PC 60HZ 380V,PC,2,211.96,423.92
4179,FREQUÊCIMETRO HZ96 PC 60HZ 110/220V,PC,0,211.96,0.00
4180,FREQUENCIMETRO 72X72 SETA GERADOR,PC,0,164.31,0.00
4181,FREQUENCIMETRO 96X96 55-66 CPR JNG,PC,0,103.82,0.00
4182,FREQUENCIMETRO 96X96 SETA GERADOR,PC,0,169.57,0.00
4183,FREQUENCIMETRO PONT 72X72 CPF72 5565,PC,0,141.98,0.00
4184,Furadeira Minidril AD19 12VDC,PC,0,35.40,0.00
4185,FUSÍVEL,PC,0,0.11,0.00
4186,FUSÍVEL,PC,0,0.00,0.00
4187,"FUSÍVEL 0,125 3AGLFF, ULTRA RÁPIDO",PC,0,0.11,0.00
4188,"FUSÍVEL 0,5A,10X38KF,RÁPIDO",PC,0,6.80,0.00
4189,"FUSÍVEL 100A,32X40X957X95KFF,ULTRA",PC,0,92.00,0.00
4190,"FUSÍVEL 10A 20AGLFF, UTRA RÁPIDO,10A",PC,0,0.11,0.00
4191,"FUSÍVEL 10A 3AGLFF, ULTRA RÁPIDO",PC,0,0.11,0.00
4192,"FUSÍVEL 10A -C-8,5X32 KFF ULTRA RÁPIDO",PC,0,1.32,0.00
4193,FUSÍVEL 10A -K-10X38KFF,PC,0,6.80,0.00
4194,"FUSÍVEL 10A, 10X35KFF, ULTRA RAPIDO",PC,7,3.84,26.88
4195,"FUSÍVEL 10A, 10X38KF,RÁPIDO",PC,8,2.50,20.00
4196,"FUSÍVEL 10A, 14X51, RÁPIDO",PC,10,4.00,40.00
4197,"FUSÍVEL 10A,10X38,RETARDADO",PC,3,3.11,9.33
4198,"FUSÍVEL 10A,10X38KFF,ULTRA RÁPIDO",PC,0,3.38,0.00
4199,"FUSÍVEL 10A,14X51,RETARDADO KT",PC,5,3.60,18.00
4200,"FUSÍVEL 10A,14X51KFF, ULTRA RÁPIDO",PC,5,3.11,15.55
4201,"FUSÍVEL 15A, 10X38,RÁPIDO KF",PC,2,2.76,5.52
4202,"FUSÍVEL 15A, 10X38,RETARDADO KT",PC,8,2.76,22.08
4203,"FUSÍVEL 15A, 14X51,ULTRA  RÁPIDO KFF",PC,4,5.82,23.28
4204,"FUSÍVEL 15A,14X51,RETARDADO KT",PC,5,3.60,18.00
4205,"FUSÍVEL 15A,14X51KF, RÁPIDO",PC,5,5.47,27.35
4206,"FUSÍVEL 15A,C-10X38KFF ULTRA RÁPIDO",PC,0,3.48,0.00
4207,"FUSÍVEL 15A,C10X38KFF,ULTRA RÁPIDO",PC,0,3.00,0.00
4208,FUSÍVEL 15KV 50A,PC,0,335.52,0.00
4209,"FUSÍVEL 16A -C-8,5X32 KFF ULTRA RÁPIDO",PC,0,1.32,0.00
4210,"FUSÍVEL 16A, 17X58, ULTRA RÁPIDO",PC,10,11.04,110.40
4211,"FUSÍVEL 1A 20AGLFF, UTRARÁPIDO",PC,0,0.11,0.00
4212,"FUSÍVEL 1A,10X38KF,RÁPIDO",PC,0,2.50,0.00
4213,"FUSÍVEL 20A 20AGLFF, ULTRA RÁPIDO",PC,0,0.11,0.00
4214,"FUSÍVEL 20A 3AGLFF, ULTRA RÁPIDO",PC,0,0.11,0.00
4215,"FUSÍVEL 20A, 10X38, RETARDADO",PC,10,2.76,27.60
4216,"FUSÍVEL 20A, 10X38KF,RÁPIDO",PC,10,2.76,27.60
4217,"FUSÍVEL 20A, C10X38KFF UTRA RÁPIDO",PC,0,3.00,0.00
4218,"FUSÍVEL 20A, C8,5X32 KFF,ULTRA RÁPIDO",PC,0,2.38,0.00
4219,"FUSÍVEL 20A,14X51KF, RÁPIDO",PC,5,5.47,27.35
4220,"FUSÍVEL 20A,14X51KFF,ULTRA RÁPIDO",PC,0,2.84,0.00
4221,"FUSÍVEL 20A,14X51KT,RETARDADO",PC,0,3.60,0.00
4222,"FUSÍVEL 20A,17X58KFF ULTRA RAPIDO",PC,6,15.36,92.16
4223,"Fusível 20A,8X32KF RÁPIDO",PC,0,4.50,0.00
4224,"FUSÍVEL 25A, 14X51,RETARDADO KT",PC,5,5.47,27.35
4225,"FUSÍVEL 25A,14X51KFF, ULTRA RÁPIDO",PC,5,4.80,24.00
4226,"FUSÍVEL 2A 20AGLFF, UTRARÁPIDO,2A",PC,0,0.11,0.00
4227,FUSÍVEL 2A -K-10X38KF RÁPIDO PINO 600V,PC,0,6.61,0.00
4228,FUSÍVEL 2A -K-10X38KF RÁPIDO PINO 600V,PC,0,5.51,0.00
4229,FUSÍVEL 2A -K-10X38KFF ULTRA RÁPIDO PINO,PC,0,7.75,0.00
4230,"FUSÍVEL 2A, 10X38 PINO,RETARDADO KF",PC,0,7.83,0.00
4231,"FUSÍVEL 2A, 10X38KT,RETARDADO",PC,5,2.30,11.50
4232,"FUSÍVEL 2A,10X38KF,RÁPIDO",PC,10,2.38,23.80
4233,"FUSÍVEL 2A,10X38KFF ULTRA RÁPIDO",PC,0,3.38,0.00
